TIME ID,SERIES LH1,SERIES LH2,SERIES LH3,SERIES LH4,SERIES LH5,SERIES LH6,SERIES LH7,SERIES LH8,SERIES LH9,SERIES LH10,SERIES LH11,SERIES LH12,SERIES LH13,SERIES LH14,SERIES LH15,SERIES LH16,SERIES LH17,SERIES LH18,SERIES LH19,SERIES LH20,SERIES LH21,SERIES LH22,SERIES LH23,SERIES LH24,SERIES LE1,SERIES LE2,SERIES LE3,SERIES LE4,SERIES LE5,SERIES LE6,SERIES LE7,SERIES LE8,SERIES LE9,SERIES LE10,SERIES LE11,SERIES LE12,SERIES LE13,SERIES LE14,SERIES LE15,SERIES LE16,SERIES LE17,SERIES LE18,SERIES LE19,SERIES LE20,SERIES LE21,SERIES LE22,SERIES LE23,SERIES LE24,SERIES W1,SERIES W2,SERIES W3,SERIES W4,SERIES W5,SERIES W6
T1,0,0,0,0,0,0,0,0.184705834,0.184705834,0.246274446,0,0,0,0,0.461764586,0,0,0.461764586,0.307843057,0,0,0,0,0,0.475052286,0.484956453,0.560735391,0.646274379,0.679493308,0.662895928,0.575207628,0.341503809,0.570989115,0.504244687,0,0,0.501469971,0.67014643,0.475052286,0.484956453,0,0.560735391,0.646274379,0.679493308,0,0,0,0,0.702403979,0.741344196,0.436155074,0.278125913,0.652594561,0.289807978
T2,0,0,0,0,0,0,0,0.203519373,0.203519373,0.271359164,0,0,0,0,0.508798432,0,0,0.508798432,0.339198955,0,0,0,0,0,0.46698536,0.465954078,0.558240315,0.635772629,0.666347992,0.66612799,0.576130421,0.352765816,0.539044013,0.497140105,0,0,0.491810164,0.648637287,0.46698536,0.465954078,0,0.558240315,0.635772629,0.666347992,0,0,0,0,0.666482454,0.716904277,0.436450415,0.308306635,0.640226931,0.323433181
T3,0,0,0,0,0,0,0,0.207230637,0.207230637,0.276307516,0,0,0,0,0.518076593,0,0,0.518076593,0.345384396,0,0,0,0,0,0.443083358,0.440617577,0.550886408,0.631105184,0.651768642,0.668713639,0.572439249,0.361046704,0.526502603,0.487506773,0,0,0.481100378,0.635255377,0.443083358,0.440617577,0,0.550886408,0.631105184,0.651768642,0,0,0,0,0.613152805,0.720977597,0.412674564,0.332934799,0.654151517,0.365282237
T4,0,0,0,0,0,0,0,0.207120402,0.207120402,0.276160536,0,0,0,0,0.517801004,0,0,0.517801004,0.34520067,0,0,0,0,0,0.420675232,0.429532858,0.540774787,0.626104351,0.640057361,0.659663866,0.568748078,0.374296125,0.530525319,0.48582094,0,0,0.459680806,0.63532544,0.420675232,0.429532858,0,0.540774787,0.626104351,0.640057361,0,0,0,0,0.540480796,0.759674134,0.360387838,0.349922535,0.699643148,0.415680536
T5,0,0,0,0,0,0,0,0.212325971,0.212325971,0.283101294,0,0,0,0,0.530814927,0,0,0.530814927,0.353876618,0,0,0,0,0,0.426949507,0.41567696,0.538411031,0.629271545,0.635277247,0.656108597,0.562903722,0.369327592,0.544723142,0.478836775,0,0,0.452540949,0.636936874,0.426949507,0.41567696,0,0.538411031,0.629271545,0.635277247,0,0,0,0,0.49516441,0.762729124,0.34042829,0.371053233,0.711150417,0.451322647
T6,0,0,0,0,0,0,0,0.224084432,0.224084432,0.298779243,0,0,0,0,0.560211081,0,0,0.560211081,0.373474054,0,0,0,0,0,0.431431132,0.410926366,0.546158897,0.633272212,0.644359465,0.662572721,0.561673331,0.37462736,0.547799337,0.480402192,0,0,0.453380932,0.646395292,0.431431132,0.410926366,0,0.546158897,0.633272212,0.644359465,0,0,0,0,0.395689417,0.761710794,0.30124929,0.421299895,0.730230752,0.531106308
T7,0,0,0,0,0,0,0,0.226080921,0.226080921,0.301441228,0,0,0,0,0.565202303,0,0,0.565202303,0.376801535,0,0,0,0,0,0.439199283,0.418844022,0.558896914,0.650608435,0.657026769,0.672592114,0.565056906,0.36800265,0.550875532,0.486483232,0,0,0.467870643,0.648987599,0.439199283,0.418844022,0,0.558896914,0.650608435,0.657026769,0,0,0,0,0.316109422,0.746435845,0.278582262,0.468727367,0.733926792,0.597825293
T8,0,0,0,0,0,0,0,0.224476381,0.224476381,0.299301841,0,0,0,0,0.561190952,0,0,0.561190952,0.374127302,0,0,0,0,0,0.458619659,0.436658749,0.569139856,0.64444074,0.667304015,0.672268908,0.581974777,0.326266976,0.564126834,0.499307604,0,0,0.493910122,0.665592377,0.458619659,0.436658749,0,0.569139856,0.64444074,0.667304015,0,0,0,0,0.306161923,0.754582485,0.269715278,0.469627796,0.742433603,0.604153965
T9,0,0,0,0,0,0,0,0.226962806,0.226962806,0.302617074,0,0,0,0,0.567407015,0,0,0.567407015,0.378271343,0,0,0,0,0,0.482820436,0.451306413,0.586605384,0.65494249,0.680449331,0.685520362,0.581051984,0.349453461,0.545433034,0.510807394,0,0,0.509659807,0.668534996,0.482820436,0.451306413,0,0.586605384,0.65494249,0.680449331,0,0,0,0,0.296490743,0.741344196,0.27378978,0.481082531,0.733777208,0.614538566
T10,0,0,0,0,0,0,0,0.225774711,0.225774711,0.301032948,0,0,0,0,0.564436778,0,0,0.564436778,0.376291186,0,0,0,0,0,0.509112638,0.480997625,0.604333552,0.68828138,0.693833652,0.695862961,0.589049523,0.368333885,0.55537151,0.524896141,0,0,0.518689626,0.673509423,0.509112638,0.480997625,0,0.604333552,0.68828138,0.693833652,0,0,0,0,0.272727273,0.706720978,0.285058322,0.510275875,0.710831328,0.640473986
T11,0,0,0,0,0,0,0,0.229179766,0.229179766,0.305573021,0,0,0,0,0.572949414,0,0,0.572949414,0.381966276,0,0,0,0,0,0.545563191,0.527315914,0.628496389,0.698616436,0.713671128,0.735617324,0.604121809,0.357403114,0.577614766,0.551929677,0,0,0.551028979,0.687031458,0.545563191,0.527315914,0,0.628496389,0.698616436,0.713671128,0,0,0,0,0.248963802,0.66496945,0.300603851,0.543033374,0.6821828,0.667835068
T12,0,0,0,0,0,0,0,0.232866533,0.232866533,0.310488711,0,0,0,0,0.582166333,0,0,0.582166333,0.388110889,0,0,0,0,0,0.571855393,0.554631829,0.634405778,0.714452409,0.723470363,0.740788623,0.619501692,0.369327592,0.581874113,0.572942381,0,0,0.586308274,0.697120437,0.571855393,0.554631829,0,0.634405778,0.714452409,0.723470363,0,0,0,0,0.239016303,0.613034623,0.327785747,0.573974537,0.642624438,0.686180033
